experiment,benchmark,thinking_disabled,output_root,task,accuracy,macro_f1,unparseable_rate,qa_accuracy,leakage_rate,Q7_accuracy,Q7_f1_macro,over_disclosure_rate,MAE
zero-shot,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/01-00-50/goldcoin_hipaa,applicability,0.6121,0.5958,0.0,,,,,,
zero-shot,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/01-00-50/goldcoin_hipaa,compliance,0.6604,0.4655,0.0093,,,,,,
zero-shot,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/01-29-43/goldcoin_hipaa,applicability,0.6215,0.6098,0.0,,,,,,
zero-shot,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/01-29-43/goldcoin_hipaa,compliance,0.6604,0.4655,0.0093,,,,,,
zero-shot,PrivacyLens,False,/share/pierson/matt/UAIR/outputs/2026-03-17/01-49-38/privacylens_eval,qa+leakage,,,,0.0,0.9675,,,,
SFT,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/02-48-37/goldcoin_hipaa,applicability,0.5935,0.5795,0.0,,,,,,
SFT,GoldCoin-HIPAA,False,/share/pierson/matt/UAIR/outputs/2026-03-17/02-48-37/goldcoin_hipaa,compliance,0.7009,0.526,0.0,,,,,,
SFT,GoldCoin-HIPAA,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-45-19/goldcoin_hipaa,applicability,0.5607,0.4714,0.0,,,,,,
SFT,GoldCoin-HIPAA,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-45-19/goldcoin_hipaa,compliance,0.785,0.704,0.0,,,,,,
SFT,VLM-GeoPrivacy,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-45-19/vlm_geoprivacy_bench,mcq_Q7,,,,,,0.4074,0.3935,0.4061,0.6028
SFT,GoldCoin-HIPAA,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-52-37/goldcoin_hipaa,applicability,0.5607,0.4714,0.0,,,,,,
SFT,GoldCoin-HIPAA,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-52-37/goldcoin_hipaa,compliance,0.785,0.704,0.0,,,,,,
SFT,PrivacyLens,True,/share/pierson/matt/UAIR/outputs/2026-03-17/03-52-37/privacylens_eval,qa+leakage,,,,0.9797,0.8174,,,,
SFT,VLM-GeoPrivacy,False,/share/pierson/matt/UAIR/outputs/2026-03-17/04-05-36/vlm_geoprivacy_bench,mcq_Q7,,,,,,0.4036,0.3913,0.4036,0.6054
